BS287 19:29:38.06 +19:45:58.3 RotType=Horizon; RotAng=90
BS288 19:32:44.33 +19:58:40.8 RotType=Horizon; RotAng=90
BS289 19:32:00.41 +20:22:03.7 RotType=Horizon; RotAng=90
BS291 19:36:11.54 +20:21:11.9 RotType=Horizon; RotAng=90
BS295 19:37:22.37 +22:23:49.6 RotType=Horizon; RotAng=90
BS296 19:40:24.70 +22:30:35.6 RotType=Horizon; RotAng=90
BS298 19:51:08.18 +22:49:54.5 RotType=Horizon; RotAng=90
BS300 19:44:20.06 +23:52:45.1 RotType=Horizon; RotAng=90
BS302 19:45:47.52 +24:06:00.0 RotType=Horizon; RotAng=90
BS303 19:46:06.17 +24:11:13.9 RotType=Horizon; RotAng=90
BS305 19:46:22.68 +24:37:48.0 RotType=Horizon; RotAng=90
BS306 19:47:21.38 +24:33:43.9 RotType=Horizon; RotAng=90
BS309 19:44:00.74 +25:48:47.2 RotType=Horizon; RotAng=90
BS313 19:57:17.81 +26:10:49.8 RotType=Horizon; RotAng=90
BS315 19:46:39.31 +28:13:23.2 RotType=Horizon; RotAng=90
BS318 20:22:58.78 +34:14:21.5 RotType=Horizon; RotAng=90
BS319 20:05:38.11 +36:39:38.2 RotType=Horizon; RotAng=90
BS320 20:09:26.06 +36:29:19.7 RotType=Horizon; RotAng=90
BS321 20:14:33.29 +36:29:49.9 RotType=Horizon; RotAng=90
BS322 20:14:51.10 +36:35:58.2 RotType=Horizon; RotAng=90
BS324 20:13:28.92 +38:14:31.6 RotType=Horizon; RotAng=90
BS325 20:23:35.71 +36:55:44.0 RotType=Horizon; RotAng=90
BS326 20:32:56.26 +36:12:00.4 RotType=Horizon; RotAng=90
BS328 20:35:34.44 +36:34:25.3 RotType=Horizon; RotAng=90
BS329 20:29:22.06 +37:55:44.4 RotType=Horizon; RotAng=90
BS330 20:22:54.02 +39:12:28.8 RotType=Horizon; RotAng=90
BS331 20:27:17.57 +39:44:32.6 RotType=Horizon; RotAng=90
BS332 20:26:24.89 +40:01:41.2 RotType=Horizon; RotAng=90
BS333 20:26:46.78 +40:05:56.8 RotType=Horizon; RotAng=90
BS335 20:28:15.38 +40:44:04.6 RotType=Horizon; RotAng=90
BS336 20:36:32.52 +39:36:47.2 RotType=Horizon; RotAng=90
BS338 20:34:55.10 +40:34:44.4 RotType=Horizon; RotAng=90
BS339 20:36:04.51 +40:56:13.2 RotType=Horizon; RotAng=90
BS340 20:28:30.24 +42:00:35.3 RotType=Horizon; RotAng=90
BS341 20:34:28.94 +41:56:16.8 RotType=Horizon; RotAng=90
BS342 20:34:34.54 +41:58:29.6 RotType=Horizon; RotAng=90
BS343 20:30:34.97 +44:18:54.7 RotType=Horizon; RotAng=90
BS344 20:33:36.07 +43:59:07.4 RotType=Horizon; RotAng=90
BS345 20:52:53.21 +42:36:27.7 RotType=Horizon; RotAng=90
BS346 20:51:50.21 +43:19:29.6 RotType=Horizon; RotAng=90
BS349 21:21:39.07 +50:02:01.0 RotType=Horizon; RotAng=90
BS350 21:22:55.70 +50:24:25.2 RotType=Horizon; RotAng=90
BS351 22:12:30.07 +55:32:07.4 RotType=Horizon; RotAng=90
BS352 22:15:57.48 +58:09:36.4 RotType=Horizon; RotAng=90
BS353 22:16:32.93 +59:23:30.8 RotType=Horizon; RotAng=90
BS354 22:27:41.42 +57:41:04.6 RotType=Horizon; RotAng=90
BS356 22:39:17.71 +59:01:00.5 RotType=Horizon; RotAng=90
BS357 22:39:22.54 +59:00:25.9 RotType=Horizon; RotAng=90
BS358 22:34:06.50 +60:58:50.2 RotType=Horizon; RotAng=90
BS359 22:46:40.22 +58:17:43.8 RotType=Horizon; RotAng=90
BS360 22:51:33.77 +59:00:30.6 RotType=Horizon; RotAng=90
BS361 22:51:39.72 +61:08:51.0 RotType=Horizon; RotAng=90
BS362 22:55:45.34 +60:24:40.3 RotType=Horizon; RotAng=90
BS364 00:21:53.88 +61:45:02.5 RotType=Horizon; RotAng=90
BS365 00:30:28.32 +65:16:19.6 RotType=Horizon; RotAng=90
BS366 00:25:51.24 +71:48:25.6 RotType=Horizon; RotAng=90
BS648 17:04:51.84 -42:06:54.0 RotType=Horizon; RotAng=90
BS653 17:08:46.85 -40:34:27.5 RotType=Horizon; RotAng=90
BS655 17:08:02.40 -40:16:24.2 RotType=Horizon; RotAng=90
BS656 17:12:07.51 -40:46:23.2 RotType=Horizon; RotAng=90
BS657 17:08:38.04 -40:17:01.0 RotType=Horizon; RotAng=90
BS662 17:01:13.01 -38:12:11.9 RotType=Horizon; RotAng=90
BS667 17:15:22.32 -38:12:46.8 RotType=Horizon; RotAng=90
BS670 17:17:12.10 -38:03:21.6 RotType=Horizon; RotAng=90
BS673 17:20:38.23 -38:01:48.7 RotType=Horizon; RotAng=90
BS681 17:17:00.50 -36:13:36.1 RotType=Horizon; RotAng=90
BS687 17:28:59.78 -36:06:54.7 RotType=Horizon; RotAng=90
BS691 17:22:50.02 -34:03:22.3 RotType=Horizon; RotAng=90
BS692 17:27:11.23 -34:14:35.2 RotType=Horizon; RotAng=90
BS700 17:33:47.88 -31:16:27.1 RotType=Horizon; RotAng=90
BS701 17:36:04.46 -30:49:55.2 RotType=Horizon; RotAng=90
BS705 17:45:08.21 -29:56:45.2 RotType=Horizon; RotAng=90
BS709 17:47:30.02 -29:14:24.4 RotType=Horizon; RotAng=90
BS712 17:54:15.65 -26:17:23.6 RotType=Horizon; RotAng=90
BS713 18:03:07.99 -24:23:55.0 RotType=Horizon; RotAng=90
BS714 18:02:29.23 -23:49:34.0 RotType=Horizon; RotAng=90
BS715 18:02:41.88 -23:38:02.0 RotType=Horizon; RotAng=90
BS717 18:03:00.26 -22:13:07.0 RotType=Horizon; RotAng=90
