BS002 17:50:27.94 -29:12:46.1 RotType=Horizon; RotAng=90
# G = 15.75
BS003 17:48:41.88 -28:06:39.6 RotType=Horizon; RotAng=90
# G = 16.29
BS012 18:01:06.10 -24:21:34.6 RotType=Horizon; RotAng=90
# G = 13.52
BS028 18:09:19.99 -18:36:11.2 RotType=Horizon; RotAng=90
# G = 13.17
BS029 18:09:05.50 -18:16:22.8 RotType=Horizon; RotAng=90
# G = 16.31
BS032 18:14:00.82 -18:25:47.3 RotType=Horizon; RotAng=90
# G = 13.76
BS036 18:14:00.24 -17:52:31.8 RotType=Horizon; RotAng=90
# G = 15.81
BS037 18:14:48.17 -17:44:09.6 RotType=Horizon; RotAng=90
# G = 14.43
BS039 18:08:46.42 -16:25:59.5 RotType=Horizon; RotAng=90
# G = 11.49
BS043 18:16:25.25 -17:05:20.8 RotType=Horizon; RotAng=90
# G = 11.19
BS045 18:17:01.30 -16:34:03.4 RotType=Horizon; RotAng=90
# G = 14.29
BS050 18:18:57.89 -16:25:05.9 RotType=Horizon; RotAng=90
# G = 13.67
BS051 18:20:22.70 -16:08:34.1 RotType=Horizon; RotAng=90
# G = 12.61
BS054 18:05:58.82 -14:11:53.2 RotType=Horizon; RotAng=90
# G = 7.72
BS056 18:17:17.18 -15:29:25.4 RotType=Horizon; RotAng=90
# G = 11.71
BS061 18:18:58.70 -13:59:28.3 RotType=Horizon; RotAng=90
# G = 8.12
BS063 18:19:05.57 -13:54:50.4 RotType=Horizon; RotAng=90
# G = 9.35
BS065 18:19:20.04 -13:54:21.6 RotType=Horizon; RotAng=90
# G = 10.58
BS066 18:15:23.98 -13:19:35.8 RotType=Horizon; RotAng=90
# G = 10.82
BS067 18:18:23.64 -13:36:28.1 RotType=Horizon; RotAng=90
# G = 11.52
BS083 18:26:49.27 -11:36:40.0 RotType=Horizon; RotAng=90
# G = 14.34
BS089 18:32:23.42 -10:32:12.8 RotType=Horizon; RotAng=90
# G = 14.21
BS100 18:31:46.42 -08:32:28.7 RotType=Horizon; RotAng=90
# G = 13.38
BS101 18:31:25.46 -08:28:49.1 RotType=Horizon; RotAng=90
# G = 12.06
BS129 18:40:33.89 -04:53:56.0 RotType=Horizon; RotAng=90
# G = 10.07
BS165 18:51:33.02 -01:02:29.8 RotType=Horizon; RotAng=90
# G = 14.80
BS173 18:53:28.82 -00:12:08.6 RotType=Horizon; RotAng=90
# G = 16.06
BS195 18:58:13.10 +02:40:54.5 RotType=Horizon; RotAng=90
# G = 15.74
BS197 18:54:59.06 +03:18:54.7 RotType=Horizon; RotAng=90
# G = 14.87
BS249 19:15:07.80 +12:42:06.5 RotType=Horizon; RotAng=90
# G = 14.19
BS252 19:20:20.45 +13:22:07.0 RotType=Horizon; RotAng=90
# G = 14.49
BS258 19:20:39.14 +14:12:19.8 RotType=Horizon; RotAng=90
# G = 14.99
BS263 19:25:34.68 +14:30:00.0 RotType=Horizon; RotAng=90
# G = 14.59
BS265 19:22:04.30 +14:58:33.2 RotType=Horizon; RotAng=90
# G = 13.25
BS268 19:21:55.90 +15:13:55.9 RotType=Horizon; RotAng=90
# G = 14.69
BS271 19:23:50.23 +15:28:39.0 RotType=Horizon; RotAng=90
# G = 14.20
BS272 19:13:48.41 +17:24:15.5 RotType=Horizon; RotAng=90
# G = 11.71
BS282 19:29:44.64 +18:11:44.2 RotType=Horizon; RotAng=90
# G = 12.97
BS284 19:29:05.81 +19:08:36.6 RotType=Horizon; RotAng=90
# G = 14.31
BS285 19:28:26.76 +19:23:58.2 RotType=Horizon; RotAng=90
# G = 14.96
BS287 19:29:38.06 +19:45:58.3 RotType=Horizon; RotAng=90
# G = 16.82
BS288 19:32:44.33 +19:58:40.8 RotType=Horizon; RotAng=90
# G = 10.87
BS289 19:32:00.41 +20:22:03.7 RotType=Horizon; RotAng=90
# G = 12.32
BS291 19:36:11.54 +20:21:11.9 RotType=Horizon; RotAng=90
# G = 15.51
BS295 19:37:22.37 +22:23:49.6 RotType=Horizon; RotAng=90
# G = 15.62
BS296 19:40:24.70 +22:30:35.6 RotType=Horizon; RotAng=90
# G = 15.10
BS298 19:51:08.18 +22:49:54.5 RotType=Horizon; RotAng=90
# G = 8.98
BS300 19:44:20.06 +23:52:45.1 RotType=Horizon; RotAng=90
# G = 10.52
BS302 19:45:47.52 +24:06:00.0 RotType=Horizon; RotAng=90
# G = 10.75
BS303 19:46:06.17 +24:11:13.9 RotType=Horizon; RotAng=90
# G = 12.69
BS305 19:46:22.68 +24:37:48.0 RotType=Horizon; RotAng=90
# G = 10.11
BS306 19:47:21.38 +24:33:43.9 RotType=Horizon; RotAng=90
# G = 10.01
BS309 19:44:00.74 +25:48:47.2 RotType=Horizon; RotAng=90
# G = 13.22
BS313 19:57:17.81 +26:10:49.8 RotType=Horizon; RotAng=90
# G = 16.18
BS315 19:46:39.31 +28:13:23.2 RotType=Horizon; RotAng=90
# G = 14.31
BS318 20:22:58.78 +34:14:21.5 RotType=Horizon; RotAng=90
# G = 16.34
BS319 20:05:38.11 +36:39:38.2 RotType=Horizon; RotAng=90
# G = 12.17
BS320 20:09:26.06 +36:29:19.7 RotType=Horizon; RotAng=90
# G = 8.48
BS321 20:14:33.29 +36:29:49.9 RotType=Horizon; RotAng=90
# G = 13.20
BS322 20:14:51.10 +36:35:58.2 RotType=Horizon; RotAng=90
# G = 12.58
BS324 20:13:28.92 +38:14:31.6 RotType=Horizon; RotAng=90
# G = 10.92
BS325 20:23:35.71 +36:55:44.0 RotType=Horizon; RotAng=90
# G = 8.39
BS326 20:32:56.26 +36:12:00.4 RotType=Horizon; RotAng=90
# G = 10.64
BS328 20:35:34.44 +36:34:25.3 RotType=Horizon; RotAng=90
# G = 11.90
BS329 20:29:22.06 +37:55:44.4 RotType=Horizon; RotAng=90
# G = 14.08
BS330 20:22:54.02 +39:12:28.8 RotType=Horizon; RotAng=90
# G = 8.19
BS331 20:27:17.57 +39:44:32.6 RotType=Horizon; RotAng=90
# G = 9.90
BS332 20:26:24.89 +40:01:41.2 RotType=Horizon; RotAng=90
# G = 11.67
BS333 20:26:46.78 +40:05:56.8 RotType=Horizon; RotAng=90
# G = 12.99
BS336 20:36:32.52 +39:36:47.2 RotType=Horizon; RotAng=90
# G = 14.34
BS338 20:34:55.10 +40:34:44.4 RotType=Horizon; RotAng=90
# G = 13.79
BS339 20:36:04.51 +40:56:13.2 RotType=Horizon; RotAng=90
# G = 11.64
BS341 20:34:28.94 +41:56:16.8 RotType=Horizon; RotAng=90
# G = 12.04
BS342 20:34:34.54 +41:58:29.6 RotType=Horizon; RotAng=90
# G = 14.51
BS343 20:30:34.97 +44:18:54.7 RotType=Horizon; RotAng=90
# G = 6.71
BS344 20:33:36.07 +43:59:07.4 RotType=Horizon; RotAng=90
# G = 9.13
BS345 20:52:53.21 +42:36:27.7 RotType=Horizon; RotAng=90
# G = 8.25
BS346 20:51:50.21 +43:19:29.6 RotType=Horizon; RotAng=90
# G = 12.53
BS349 21:21:39.07 +50:02:01.0 RotType=Horizon; RotAng=90
# G = 11.00
BS350 21:22:55.70 +50:24:25.2 RotType=Horizon; RotAng=90
# G = 12.40
BS351 22:12:30.07 +55:32:07.4 RotType=Horizon; RotAng=90
# G = 11.27
BS352 22:15:57.48 +58:09:36.4 RotType=Horizon; RotAng=90
# G = 13.49
BS353 22:16:32.93 +59:23:30.8 RotType=Horizon; RotAng=90
# G = 11.59
BS354 22:27:41.42 +57:41:04.6 RotType=Horizon; RotAng=90
# G = 11.82
BS356 22:39:17.71 +59:01:00.5 RotType=Horizon; RotAng=90
# G = 9.84
BS357 22:39:22.54 +59:00:25.9 RotType=Horizon; RotAng=90
# G = 9.47
BS358 22:34:06.50 +60:58:50.2 RotType=Horizon; RotAng=90
# G = 10.23
